rank,name,position,team,gp,goals,assists,points,plus_minus,pim,ppg,shg,points_per_game,pim_per_game,shots
1,Rory Kerins,C,CGY,27,18,11,29,14,8,5,0,1.07,0.30,71
2,Luca Del Bel Belluz,C,CLE,25,15,14,29,8,4,4,0,1.16,0.16,53
3,Trey Fix-Wolansky,RW,CLE,25,14,14,28,4,23,4,0,1.12,0.92,62
4,Vinnie Hinostroza,RW,MIL,22,8,20,28,6,14,2,0,1.27,0.64,46
5,Vinni Lettieri,C,PRO,26,10,17,27,3,8,4,0,1.04,0.31,68
6,Ethen Frank,RW,HER,28,19,7,26,5,8,4,0,0.93,0.29,81
7,Antonio Stranges,F,TEX,21,10,16,26,4,12,3,0,1.24,0.57,52
8,Glenn Gawdin,F,ONT,21,9,16,25,5,20,1,2,1.19,0.95,51
9,Alex Belzile,F,HFD,22,9,16,25,4,37,4,1,1.14,1.68,58
10,Dryden Hunt,LW,CGY,25,6,19,25,11,18,2,1,1.00,0.72,89
11,Frank Nazar,F,RFD,21,11,13,24,1,8,4,2,1.14,0.38,60
12,Rocco Grimaldi,RW,CLE,21,6,18,24,4,4,2,0,1.14,0.19,52
13,Isak Rosén,RW,ROC,23,11,12,23,0,2,2,0,1.00,0.09,58
14,Kyle Criscuolo,C,CLT,22,10,13,23,6,10,6,0,1.05,0.45,40
15,Andrew Poturalski,F,SJ,24,9,14,23,-1,10,4,0,0.96,0.42,59
16,Benoit-Olivier Groulx,C,HFD,25,8,15,23,-2,20,1,0,0.92,0.80,54
17,Denton Mateychuk,D,CLE,25,7,16,23,5,10,3,0,0.92,0.40,46
18,Georgii Merkulov,F,PRO,23,6,17,23,6,12,1,0,1.00,0.52,44
19,Alex Steeves,F,TOR,15,14,8,22,11,20,3,1,1.47,1.33,63
20,Emil Bemström,RW,WBS,20,9,13,22,3,8,2,0,1.10,0.40,77
21,Justin Hryckowian,F,TEX,23,8,14,22,12,15,1,0,0.96,0.65,41
22,Collin Graf,F,SJ,24,5,17,22,6,10,0,0,0.92,0.42,45
23,Mike Sgarbossa,C,HER,20,2,20,22,3,10,2,0,1.10,0.50,30
24,Brian Pinho,F,BRI,26,14,7,21,-6,8,4,3,0.81,0.31,73
25,Clark Bishop,C,CGY,27,11,10,21,9,11,0,0,0.78,0.41,53
26,Egor Sokolov,RW,TUC,23,10,11,21,-7,10,4,0,0.91,0.43,50
27,Trevor Carrick,D,CLT,21,5,16,21,-4,15,5,0,1.00,0.71,52
